Row Labels,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Ale, beer, stout and porter, population 15 years old and over",99.89,97.66,94.79,92.01,87.7,87.25,87.45,87.15,84.76,84.97,85.72,85.91,84.01,84.85,83.63,84.11,83.2,84.39,83.14,83.4,82.96,82.74,82.8,79.61,79.71,77.59,75.55,74.56,74.53,72.9,71.25,69.97
Coffee,91.67,89.66,95.85,97.28,87.62,92.04,99.21,95.63,97.42,93.93,95.67,99.25,101.31,101.68,104,106.08,105.8,102.16,101.16,104.18,102.92,105.6,106.68,104.55,104.51,103.74,103.4,103.57,107.48,107.7,108.56,107.34
Tea,50.09,47.89,42.4,42.12,47.61,60.86,55.58,50.61,49.89,56.77,62.54,68.32,69.88,72.98,71.36,90.77,74.7,67.15,62.05,85.8,91.93,77.44,111,96.97,85.91,89.56,105.42,84.85,75.28,66.36,63.7,71.53
Soft drinks,96.41,94.92,96.38,101.15,98.56,102.91,109.06,109.72,110.88,112.93,117.35,117,113.15,113.57,112.41,110.48,106.59,103.07,100.36,94.2,89.79,88.26,85.94,83.65,80,75.62,71.78,68.74,62.65,59.95,58.33,56.07
Wheat flour,57.63,55.57,56.25,54.25,53.93,56.04,58.12,58.29,59.34,62.66,63.51,65.5,67.05,67.25,67.92,66.17,66.39,66.81,66.91,66.69,62.76,63.34,62.53,60.62,60.27,59.74,58.67,58.51,58.28,57.22,58.09,60.21
Partly skimmed milk 2%,62.68,61.96,56.97,55.8,53.98,51.62,50.16,48.32,47.09,45.48,44.69,43.59,43.24,41.8,40.58,40.33,40.11,38.82,38.44,37.98,37.39,36.85,36.38,35,34.72,34.95,34.48,34.68,34.7,33.24,32.79,32.41
Sugar refined,38.48,35.09,35.81,34.7,36.62,37.26,37.97,36.17,36.11,36.1,33.19,33.83,34.55,34.32,34.38,34.17,34.05,32.55,30.55,30.32,31.17,31.72,29.79,30.31,29.06,30.5,30.24,29.45,29.46,30,30,29.73
"Beef, carcass weight",36.29,35.31,33.99,33.27,32.38,31.08,31.7,31.76,31.45,31.46,31.94,32.6,32.02,30.75,30.58,32.4,31.15,30.29,29.94,30.6,29.75,28.28,27.88,27.27,27.63,27.4,26.5,24.42,25.42,25.29,25.44,25.48
Standard milk 3.25%,26.85,24.23,21.94,19.94,18.42,17.16,16.81,15.94,15.4,15.02,14.78,14.13,14.2,14.03,13.54,13.45,13.09,12.61,12.36,11.95,11.34,11.18,10.57,9.94,9.83,9.76,9.7,9.95,10.25,9.99,10.41,11.2
"Chicken and stewing hen total, eviscerated weight",23.08,22.64,23.65,23.76,24.27,24.78,26.46,26.25,26.65,27.53,28.37,29.61,31.01,32.24,32.6,31.65,32.21,32.45,32.86,33.11,33.08,33.27,32.94,32.62,32.98,33.01,33.62,35.11,35.76,35.88,37.49,37.96
"Chicken, eviscerated weight",21.95,21.47,22.13,22.22,22.31,23.19,25.04,24.82,24.9,25.47,26.3,27.75,29.12,30.49,30.79,29.9,30.41,30.73,30.81,30.99,30.77,31.12,30.47,29.99,29.73,30.07,31.1,31.96,32.67,33.21,34.67,35.06
Pork,21.32,21.84,19.87,19.65,21.56,21,21.59,21.13,19.76,19.32,21.81,22.87,21.81,22.05,21.13,19.07,20.4,17.53,17.78,19.1,18.16,17.91,16.76,16.34,16.97,15.9,15.64,17.65,15.8,15.8,16.49,16.84
Potatoes white fresh,34.54,34.67,33.01,32.46,39.5,41.56,42.59,41.13,40.52,42.68,38.3,39.61,36.99,38.88,34.69,34.29,32.19,31.26,29.33,27.38,25.6,24.73,25.23,22.37,30.32,26.65,15.93,24.19,25.6,31.68,20.33,23.69
Eggs,10.68,10.41,10.25,10.23,9.91,9.88,9.89,9.81,10.19,10.29,10.4,10.42,10.71,10.83,11.06,11.25,10.75,11.08,11.47,11,11.53,11.4,11.64,12.01,12.35,12.87,13.34,13.88,14.33,14.45,15.05,15.24
Bananas fresh,12.04,11.81,12.3,12.68,13.34,13.34,13.31,13.64,13.78,14,13.81,13.8,12.99,13.07,13.29,13.36,13.85,13.95,14.06,14.33,14.35,14.32,14.58,14.75,14.77,15.46,15.66,15.74,15.78,15.84,15.58,15.45
Apples fresh,11.23,10.99,12.73,11.83,11.46,10.7,13.95,13.27,11.95,10.37,12.32,11.27,10.81,11.41,9.16,9.96,10,11.78,11.24,10.52,10.89,11.84,11.14,11.44,10.86,11.64,11.54,11.08,10.66,10.95,10.49,9.43
"Wines, population 15 years old and over",12.06,11.38,10.82,10.4,10.18,9.97,10.09,10.33,10.69,10.86,11.26,11.75,12.25,12.58,13.07,13.28,13.65,12.37,12.94,13.58,14.04,14.35,14.63,14.9,15.27,15.56,15.55,16.07,16.42,16.51,16.7,16.02
Ice cream,11.73,11.36,11.26,10.65,10.02,10.9,11.74,11.39,10.87,10.35,10.18,10.02,8.62,9.22,9.49,8.77,8.41,8.85,9.21,8.02,6.89,5.53,5.54,5.19,5,4.43,5.16,4.45,4.29,3.9,4.02,4.21
Orange juice,9.73,9.79,7.81,8.28,8.21,10.06,11.85,12.98,14.09,15.5,13.33,13.89,14.98,14.08,14.1,13.98,14.36,14.24,14.12,13.15,12.8,11.13,10.98,10.93,10.92,10.95,10.69,10.09,9.69,9.01,9.07,8.7
Oranges fresh,9.09,9.6,9.71,7.4,9.55,10.17,9.32,9.02,9.23,9.99,10.12,7.66,9.43,8.7,9.24,9.72,9.36,9.93,9.53,8.63,9.52,8.94,9.27,9.29,9.03,9.02,8.34,9.08,9.46,8.81,8.78,8.49
Lettuce fresh,7.83,8.21,8.73,10.39,10.46,10.22,9.8,9.47,9.38,10.29,10.84,10.67,10.32,11.15,11.7,11.46,10.99,11.11,10.6,10.06,9.67,9.42,9.63,9.52,9.23,9.14,8.74,8.59,8.65,8.48,8.2,8.2
Shortening and shortening oils,8.39,8.26,8.71,9.44,10.72,10.74,11.81,11.78,10.65,10.44,10.93,10.31,10.16,10.23,9.88,9.69,8.75,8.87,8.24,8.19,7.87,7.74,7.34,7.2,6.9,6.65,6.43,6.12,5.89,5.79,5.31,5.26
Salad oils,5.91,6.17,6.16,5.82,4.95,6.19,6.67,7.32,9.61,11.45,11.99,12.53,12.73,12.97,12.55,12.44,12.55,12.48,12.38,12.39,12.89,13.13,13.31,13.37,13.9,14.07,14.23,14.23,14.65,15.3,15.91,16.73
Potatoes total processed,13.91,13.81,13.95,14.28,13.7,14.28,14.09,13.6,13.77,13.92,13.97,14.09,14.58,14.82,14.84,14.32,14.8,14.92,15.58,15.31,14.45,14.12,15,12.73,15.29,14.58,13.8,14.18,14.31,13.57,11.78,13.92
Carrots fresh,8.02,7.83,10.07,8.21,9.35,9.05,9.65,7.31,8.72,7.49,9.23,8.06,8.44,8.67,7.36,7.96,7.13,9.21,6.64,6.62,6.19,7.12,9.43,9.08,9.07,7.89,6.79,8.72,7.75,7.2,7.27,6.43
Partly skimmed milk 1%,,,5.85,8.52,10.2,11.12,13,14.32,15.46,16.19,16.41,16.56,17.26,17.21,17.25,17.46,17.91,17.88,18.12,18.2,18.18,18.16,17.8,17.2,16.73,16,14.97,14.12,13.4,12.38,11.92,10.9
"Distilled spirits, population 15 years old and over",7.49,7.05,6.55,6.15,5.73,5.58,5.52,5.49,5.5,5.78,6.1,6.55,6.72,7.59,8.06,8,7.94,7.95,5.38,5.48,5.54,5.54,5.4,5.4,5.43,5.46,5.31,5.35,5.43,5.5,5.53,5.52
Onions and shallots fresh,6.82,6.66,6.45,6.47,6.8,9.17,6.49,8.21,8.33,7.96,8.53,7.96,8.27,8.5,6.62,6.8,6.66,8.25,8.14,8.41,6.11,8.58,8.64,9.09,9.04,8.71,9.17,9.43,8.77,8.68,8.45,9.3
Tomatoes fresh,6.75,6.54,6.2,6.22,6.94,7.66,7.59,7.66,7.37,7.46,6.86,7.53,7.72,8.43,8.29,7.42,7.76,7.45,7.4,7.95,7.71,7.79,7.6,8.27,8.48,8.48,8.59,8.13,8.15,7.88,8.39,7.98
Melons total fresh,4.09,3.41,3.59,3.73,5.98,6.2,6.51,6.7,7.32,7.65,7.6,8.65,8.4,7.93,9.31,9.81,10.51,10.08,10.63,10.69,10.13,10.11,10.1,10.47,10.22,10.44,10.19,10.64,10.91,10.46,10.56,9.98
Apple juice,10.54,9.77,8.83,8.67,10.08,8.53,10.27,8.86,7.28,6.64,7.01,7.4,7.13,4.77,6.23,6.18,6.21,6.44,5.74,6,5.54,5.85,5.59,5.21,4.63,4.74,4.73,4.53,4.44,4.35,4.1,3.71
Skim milk,5.43,5.79,6.33,6.37,6.26,6.19,6.6,7.3,7.76,8.05,8.22,8.37,8.59,8.73,8.83,8.54,8.64,8.75,8.71,8.76,8.69,8.61,8.32,8.14,7.79,7.18,6.42,5.62,5.07,4.75,4.57,3.74
Grapes fresh,5.17,5.49,6.1,5.49,4.99,5.1,4.68,4.72,4.21,4.43,3.88,3.97,4.54,4.19,4.67,4.75,4.79,5.2,4.85,5.09,5.29,5.01,5.07,4.73,4.68,4.82,4.46,4.62,4.31,4.39,4.57,4.51
Cabbage fresh,4.62,4.78,5.35,4.85,5.07,5.19,4.92,5.61,5.34,5.27,5.93,5.71,5.48,4.81,4.86,4.13,5.18,4.81,3.55,3.14,3.62,4.28,3.61,4.18,4.57,4.38,4.42,4.36,4.31,4,4.27,4.5
Margarine,5.6,5.59,5.45,5.55,5.22,4.89,4.34,5.14,5.33,5.39,5.35,5.2,5.02,4.89,4.72,4.5,4.3,4.13,3.96,3.94,3.78,3.72,3.53,3.5,3.37,3.17,3.04,2.97,2.89,2.78,2.65,2.58
Variety cheese,4.77,4.82,4.88,5.3,5.4,5.45,5.6,5.63,5.66,6.53,6.34,6.22,6.56,6.28,6.45,6.4,6.72,6.57,6.57,7.05,7.07,7.02,6.88,7.08,7.06,6.79,7.18,7.3,7.92,8.03,8.08,8.51
Butter,3.71,3.47,3.28,2.99,2.8,2.88,2.89,2.76,2.86,2.61,2.88,2.83,2.75,2.81,2.89,2.89,3.03,2.79,2.7,2.59,2.62,2.67,2.69,2.84,2.79,2.63,2.72,2.69,3.15,3.15,3.25,3.67
Breakfast food,4.2,4.2,4.87,3.96,4.48,5.3,4.79,5.1,5.06,5.3,5.34,5.33,5.28,5.15,5.16,5.28,5.33,5.56,5.55,5.67,5.71,5.76,5.64,5.52,5.45,5.18,5.09,5.11,5.07,4.99,4.84,4.65
"Turkey, eviscerated weight",4.35,4.46,4.51,4.54,4.55,4.36,4.41,4.32,4.12,4.23,4.28,4.17,4.26,4.22,4.22,4.12,4.17,4.43,4.31,4.33,4.58,4.49,4.34,4.24,4.08,4.13,4,4.17,4.27,4.18,4.28,3.93
Chocolate and other flavoured milk,3.99,3.92,3.9,3.42,3.28,3.38,3.81,4.03,3.95,4.02,4.25,4.67,4.54,4.87,4.94,5.07,5.4,5.48,5.51,5.78,6.07,5.74,5.81,5.89,5.88,5.85,5.91,6.39,6.14,5.74,5.53,5.25
Rice,4.8,4.85,4.88,5.45,5.63,5.98,5.98,5.9,5.74,6.05,6.07,6.11,6.04,6.11,5.72,5.95,7.2,7.07,7.42,7.47,7.9,7.93,7.7,7.85,7.44,8.85,,,,,,
Potatoes frozen,8.51,8.31,8.71,8.72,8.37,8.45,8.23,7.89,7.45,7.34,7.31,7.33,7.42,7.52,7.55,7.34,7.3,7.45,8.41,7.62,6.89,6.67,7.83,5.98,8.01,7.37,6.73,6.89,6.59,5.72,4.11,6.01
Yogurt,3.21,3.26,3.09,2.99,2.91,3.04,3.09,3.05,3.17,3.19,3.46,4.05,4.59,4.88,5.39,5.86,6.31,6.77,7.21,7.4,7.92,8.04,8.56,9.47,10.28,9.9,9.82,10.99,10.8,10,9.87,9.35
Celery fresh,4.55,4.54,4.14,4.42,4.22,4.18,4.39,4.07,3.82,3.69,3.64,3.66,3.38,3.46,3.45,3.41,3.57,3.34,3.13,3.28,3.05,3.2,3.15,3.06,3.06,3.11,3.08,3.07,3.07,2.8,2.69,2.43
Tomatoes canned,3.4,3.24,3.18,3.16,3.13,3.36,3.62,3.65,3.65,3.71,3.69,3.73,3.65,3.79,3.88,3.69,3.87,3.98,3.85,3.84,3.78,3.52,3.59,3.53,3.56,3.63,3.2,3.25,3.44,3.37,3.45,3.46
Watermelons fresh,1.49,1.14,1.33,1.53,3.26,3.23,3.41,3.43,3.79,3.92,3.77,4.41,4.3,3.59,4.83,5.55,6.15,5.28,5.64,5.68,5.46,5.5,5.66,5.96,6.06,6.11,6.11,6.36,6.38,6.14,6.27,6.22
Corn fresh,2.94,3.61,4.03,3.69,4.02,3.98,3.44,3.39,3.9,3.29,3.91,3.36,2.76,3.05,3.2,3.14,3.49,3.56,3.54,2.92,3.46,3.26,3.47,3.74,3.62,3.58,3.29,3.32,3.12,3.01,2.84,2.78
Peanuts,2.28,2.56,3.06,2.74,3.14,3.21,3.27,3.28,3.22,3.07,3.14,2.92,2.95,2.68,2.89,2.69,2.89,2.88,2.9,2.92,3.02,2.82,2.89,2.82,2.41,2.88,3.12,3.08,3.33,3.38,3.28,3.32
Cheddar cheese,3.03,3.08,3.05,3.12,3.08,3.02,3.19,3.24,3.07,3.18,3.16,3.28,3.17,3.13,3.1,3.13,3.09,3.26,3.4,3.04,3.22,3.31,3.42,3.3,3.14,3.31,3.31,3.22,3.55,3.51,4.13,3.59
Cereal cream 10%,2.89,2.75,2.92,2.81,2.8,2.8,2.81,2.9,2.89,2.86,2.92,2.88,2.92,2.95,2.92,3.04,3.21,3.11,3.05,3.03,2.97,3.06,2.94,3,3.26,3.09,3.17,3.17,3.27,3.24,3.13,3.22
Cucumbers fresh,3.32,3.49,3.05,2.88,3.19,3.11,3.26,3.14,3.23,3.07,3.65,3.7,3.95,4.16,2.22,2.02,2.08,2.42,3.13,2.7,2.65,3.44,3.46,3.44,3.65,3.37,3.52,3.37,3,3.18,3.56,3.46
Tomato juice,2.85,2.63,2.07,2.05,1.82,1.59,1.56,1.53,1.54,1.54,1.53,1.52,1.47,1.5,1.42,1.43,1.29,1.3,1.06,1.04,0.98,0.8,0.78,0.8,0.7,0.71,0.6,0.64,0.56,0.56,0.54,0.48
Grapefruits fresh,2.74,2.59,2.11,2.75,2.3,2.48,2.53,2.53,2.36,2.44,1.69,1.88,1.74,1.66,1.78,1.55,1.54,1.35,1.42,1.61,1.5,1.36,1.3,1.28,1.23,1.19,1.12,1.12,1.01,0.99,0.94,0.87
Peppers fresh,2.6,2.48,2.51,2.53,2.53,2.73,2.92,2.88,3.21,3.26,3.01,3.04,3.23,3.26,3.05,3,3.24,3.62,3.9,3.77,4.06,4.07,3.74,3.87,4.35,4.51,4.29,4.51,4.09,4.36,4.33,4.18
Processed cheese,2.98,2.94,3.05,2.77,2.79,2.71,2.77,2.74,2.58,2.44,2.25,2.39,2.35,2.47,2.25,2.22,2.35,2.25,2.3,2.24,2.13,2.1,1.93,2.11,2.02,1.91,1.75,1.61,1.7,1.85,1.87,1.77
"Fresh and frozen sea fish, edible weight",4.28,4.54,4.29,4.28,4.85,4.87,4.79,3.97,4.49,4.3,4.03,4.82,4.51,4.39,4.01,4.43,3.94,3.7,4,3.94,3.26,3.63,3.37,3.63,3.14,3.75,3.73,3.43,3.72,3.94,3.93,4
"Tomatoes, pulp, paste and puree",2.32,2.55,2.98,2.27,2.77,2.99,2.66,2.4,2.91,2.79,2.76,2.57,2.77,2.79,2.68,2.68,2.62,2.59,2.76,2.75,2.8,2.76,2.84,2.84,2.78,2.74,2.78,2.89,2.73,2.71,2.68,2.68
Grape juice,1.64,1.95,1.65,1.9,2.5,2.82,2.75,3.5,4.61,4.71,4.28,3.31,3.37,2.98,4.36,4.05,3.46,3.11,3.62,3.65,4.1,3.78,3.41,4.09,4.06,3.46,3.27,3.44,3.35,3.23,2.98,3.2
Rutabagas and turnips fresh,2.4,1.89,2.81,2.01,2.17,2.08,2.47,1.88,1.83,2.04,1.91,1.85,1.53,1.3,1.26,1.25,0.96,1.51,0.96,1.1,1.06,1.36,0.92,1.4,1.19,1.05,1.28,1.33,1.08,0.98,1.17,0.98
Potatoes other processed,2.88,3.07,2.87,3,2.84,3.25,3.29,3.2,3.71,3.81,3.87,3.96,4.08,4.33,4.38,4.19,4.2,4.21,3.62,4.05,3.97,3.98,3.71,3.55,4.02,3.93,3.8,3.99,4.05,4.15,4.02,4.29
